horse,horseLabel,mother,motherLabel,father,fatherLabel
http://www.wikidata.org/entity/Q102236173,Jacobin,,,,
http://www.wikidata.org/entity/Q102236176,Banburg,,,,
http://www.wikidata.org/entity/Q102236177,Clarion,,,,
http://www.wikidata.org/entity/Q102236180,Ban Yan,,,,
http://www.wikidata.org/entity/Q102236183,Pendennis,,,,
http://www.wikidata.org/entity/Q102236186,Gallifet,,,,
http://www.wikidata.org/entity/Q102236188,White,,,,
http://www.wikidata.org/entity/Q102236190,Alexandria,,,,
http://www.wikidata.org/entity/Q102236193,The Chevalier,,,,
http://www.wikidata.org/entity/Q102236196,Autocrat,,,,
http://www.wikidata.org/entity/Q102236198,Col. Zeb Ward,,,,
http://www.wikidata.org/entity/Q102236201,Once Again,,,,
http://www.wikidata.org/entity/Q102236202,Hindoocraft,,,,
http://www.wikidata.org/entity/Q102236204,Cassius,,,,
http://www.wikidata.org/entity/Q102236205,Sportsman,,,,
http://www.wikidata.org/entity/Q102236208,Outbound,,,,
http://www.wikidata.org/entity/Q102236211,Bootmaker,,,,
http://www.wikidata.org/entity/Q102236214,Bill Letcher,,,,
http://www.wikidata.org/entity/Q102236216,Robespierre,,,,
http://www.wikidata.org/entity/Q102236219,Palisade,,,,
http://www.wikidata.org/entity/Q102236220,Outlook,,,,
http://www.wikidata.org/entity/Q102236223,Prince Fonso,,,,
http://www.wikidata.org/entity/Q102236226,Plutus,,,,
http://www.wikidata.org/entity/Q102236228,Boundless,,,,
http://www.wikidata.org/entity/Q102236231,Buck McCann,,,,
http://www.wikidata.org/entity/Q102236233,Mirage,,,,
http://www.wikidata.org/entity/Q102236234,Linger,,,,
http://www.wikidata.org/entity/Q102236283,Pearl Song,,,,
http://www.wikidata.org/entity/Q102236286,Sigurd,,,,
http://www.wikidata.org/entity/Q102236288,Al Boyer,,,,
http://www.wikidata.org/entity/Q102236290,Tom Elmore,,,,
http://www.wikidata.org/entity/Q102236294,Basso,,,,
http://www.wikidata.org/entity/Q102236297,Laureate,,,,
http://www.wikidata.org/entity/Q102236298,Curator,,,,
http://www.wikidata.org/entity/Q102236299,Ben Eder,,,,
http://www.wikidata.org/entity/Q102236302,Semper Ego,,,,
http://www.wikidata.org/entity/Q102236304,First Mate,,,,
http://www.wikidata.org/entity/Q102236307,The Dragon,,,,
http://www.wikidata.org/entity/Q102236308,Parson,,,,
http://www.wikidata.org/entity/Q102236309,The Winner,,,,
http://www.wikidata.org/entity/Q102236310,Ulysses,,,,
